排名,名称,评分,评分人数,导演,主演,国家,类型,经典台词
108,超能陆战队,8.8,1128114人,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,美国,喜剧 动作 科幻 动画 冒险,Balalala~~~
109,爱在黎明破晓前,8.8,784925人,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,美国 奥地利 瑞士,剧情 爱情,
110,第六感,8.9,626909人,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,美国,剧情 悬疑 惊悚,
111,爱在日落黄昏时,8.9,641859人,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,美国 法国,剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
112,被嫌弃的松子的一生,8.8,764046人,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani,日本,剧情 歌舞,以戏谑来戏谑戏谑。
113,重庆森林,8.8,910383人,王家卫 Kar Wai Wong,林青霞 Brigitte Lin,中国香港,剧情 爱情,
114,茶馆,9.6,200656人,谢添 Tian Xie,于是之 Shizhi Yu,(中国大陆),中国大陆 剧情 历史,
115,未麻的部屋,9.1,415554人,今敏 Satoshi Kon,岩男润子 Junko Iwao,日本,剧情 犯罪 动画 悬疑 惊悚,
116,哈利·波特与火焰杯,8.8,785700人,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,英国 美国,悬疑 奇幻 冒险,
117,入殓师,8.9,736070人,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
118,借东西的小人阿莉埃蒂,8.9,618844人,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida,日本,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。
119,头脑特工队,8.8,785632人,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen &nb...,未知,美国,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。
120,菊次郎的夏天,8.9,665468人,北野武 Takeshi Kitano,北野武 Takeshi Kitano,日本,剧情 喜剧,
121,剪刀手爱德华,8.7,1110216人,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp,美国,剧情 爱情 奇幻,
122,断背山,8.8,771728人,李安 Ang Lee,希斯·莱杰 Heath Ledger,美国 加拿大,剧情 爱情 同性 家庭,每个人心中都有一座断背山。
123,勇敢的心,8.9,599978人,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson,美国,动作 传记 剧情 历史 战争,
124,时空恋旅人,8.8,777095人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,英国 美国,喜剧 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,消失的爱人,8.7,1059104人,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck,美国,剧情 犯罪 悬疑 惊悚,年度最佳date movie。
126,无人知晓,9.1,366930人,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira,日本,剧情,我的平常生活就是他人的幸福。
127,倩女幽魂,8.8,826149人,程小东 Siu-Tung Ching,张国荣 Leslie Cheung,中国香港,爱情 奇幻 武侠 古装,
128,驯龙高手,8.8,850625人,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,美国,动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。
129,花样年华,8.8,789017人,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung,中国香港,剧情 爱情,
130,傲慢与偏见,8.7,913459人,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley,法国 英国 美国,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。
131,完美的世界,9.1,355566人,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,美国,剧情 犯罪,
132,新世界,8.9,516874人,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee,韩国,剧情 犯罪,要做就做得狠一点，这样才能活下去。
133,阳光灿烂的日子,8.8,686237人,姜文 Wen Jiang,夏雨 Yu Xia,中国大陆 中国香港,剧情 爱情,
134,小森林 夏秋篇,9.0,467927人,森淳一 Junichi Mori,桥本爱 Ai Hashimoto,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。
135,一个叫欧维的男人决定去死,8.9,558160人,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,瑞典,剧情,惠及一生的美丽。
136,天使爱美丽,8.7,1012939人,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,法国 德国,剧情 喜剧 爱情,
137,玩具总动员3,8.9,582203人,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks,美国,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。
138,怪兽电力公司,8.8,758229人,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,美国,儿童 喜剧 动画 奇幻 冒险,
139,色，戒,8.7,944383人,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,假戏真情，爱欲深海
140,侧耳倾听,8.9,514331人,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna,日本,剧情 爱情 动画,
141,教父3,9.0,424614人,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,美国,剧情 犯罪,
142,请以你的名字呼唤我,8.8,812245人,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer,意大利 法国 巴西 美国,剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。
143,哪吒闹海,9.2,303432人,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,中国大陆,冒险 动画 奇幻,
144,幸福终点站,8.8,632823人,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,美国,喜剧 剧情 爱情,有时候幸福需要等一等。
145,九品芝麻官,8.8,780976人,王晶 Jing Wong,周星驰 Stephen Chow,中国香港,剧情 喜剧 古装,
146,被解救的姜戈,8.8,681413人,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx,美国,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。
147,釜山行,8.6,1333141人,延尚昊 Sang-ho Yeon,孔刘 Yoo Gong,韩国,动作 惊悚 灾难,揭露人性的丧尸题材力作。
148,小森林 冬春篇,9.0,415471人,森淳一 Junichi Mori,桥本爱 Ai Hashimoto,日本,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
149,神偷奶爸,8.7,1034967人,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,美国 法国,喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。
150,萤火之森,8.8,601838人,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura,日本,剧情 爱情 动画 奇幻,触不到的恋人。
